epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       269, 43063.089,    0.002,       0.00037412,       7.3171e-06,       0.00038144,        0.323,        0.502,        0.184,        0.478,        0.561,         0.45,        0.418,        0.254,        0.675,        0.774,        0.649,        0.588,         1.14,       0.0517,       0.00033745,       2.0198e-07,       0.00033766,        0.283,        0.477,         0.16,        0.432,        0.506,        0.349,        0.362,        0.238,        0.667,        0.753,        0.511,        0.542,        0.185,      0.00843
       270, 43211.367,    0.002,       0.00039833,       6.7666e-06,        0.0004051,        0.326,        0.518,        0.186,        0.476,        0.579,        0.467,        0.427,        0.271,        0.682,        0.803,        0.689,        0.611,         1.08,       0.0493,        0.0003995,       8.0515e-07,        0.0004003,        0.312,        0.519,        0.178,         0.47,         0.56,        0.397,        0.401,        0.261,        0.713,        0.813,        0.603,        0.598,        0.464,       0.0211
       271, 43360.559,    0.002,       0.00037579,       7.3286e-06,       0.00038312,        0.328,        0.503,         0.19,        0.481,        0.564,        0.457,        0.423,        0.266,        0.678,        0.759,        0.636,        0.585,          1.2,       0.0544,       0.00035454,       4.6854e-07,       0.00035501,        0.287,        0.489,        0.164,        0.439,        0.502,        0.352,        0.364,        0.249,        0.699,        0.724,        0.516,        0.547,        0.317,       0.0144
       272, 43509.194,    0.002,       0.00041411,       6.5479e-06,       0.00042066,        0.339,        0.528,        0.196,          0.5,        0.588,        0.467,        0.438,        0.298,        0.702,        0.796,        0.652,        0.612,         1.12,       0.0509,       0.00034984,       2.4698e-07,       0.00035009,        0.289,        0.486,        0.165,        0.433,        0.522,        0.365,        0.371,        0.245,        0.662,         0.79,        0.543,         0.56,        0.207,      0.00942
       273, 43662.236,    0.002,       0.00035424,       6.4069e-06,       0.00036065,        0.317,        0.489,        0.179,        0.467,        0.552,        0.457,        0.414,        0.244,        0.657,        0.744,        0.648,        0.573,         1.15,       0.0522,       0.00033842,       3.3274e-07,       0.00033875,        0.282,        0.478,        0.162,        0.429,        0.494,        0.349,        0.359,        0.243,        0.668,        0.738,        0.521,        0.543,        0.249,       0.0113
       274, 43810.655,    0.002,       0.00036445,       7.7657e-06,       0.00037222,        0.324,        0.496,        0.188,        0.473,        0.571,        0.451,        0.421,         0.26,         0.66,        0.775,        0.624,         0.58,         1.23,       0.0561,       0.00032121,        2.284e-07,       0.00032144,        0.278,        0.465,         0.16,        0.423,        0.473,        0.354,        0.352,        0.238,        0.655,        0.698,        0.516,        0.527,         0.19,      0.00864
       275, 43959.463,    0.002,       0.00036749,       8.4865e-06,       0.00037598,        0.321,        0.498,        0.187,        0.465,        0.555,        0.461,        0.417,        0.271,        0.652,        0.762,        0.656,        0.585,         1.21,       0.0551,       0.00032946,       2.5871e-07,       0.00032972,        0.283,        0.471,         0.16,        0.432,        0.498,        0.357,        0.362,        0.239,         0.66,        0.729,        0.513,        0.535,        0.216,      0.00983
       276, 44107.710,    0.002,       0.00036658,       5.2212e-06,        0.0003718,        0.321,        0.497,         0.19,        0.471,        0.553,        0.427,         0.41,        0.293,        0.657,        0.756,        0.581,        0.572,         1.03,       0.0466,        0.0003539,       2.6761e-07,       0.00035417,         0.29,        0.488,        0.166,        0.443,        0.494,        0.375,        0.369,        0.251,        0.686,        0.739,        0.537,        0.553,        0.239,       0.0109
       277, 44255.926,    0.002,       0.00040724,       7.2493e-06,       0.00041449,        0.327,        0.524,        0.187,        0.481,         0.56,         0.47,        0.425,        0.278,        0.696,        0.786,        0.698,        0.614,         1.18,       0.0538,       0.00038374,        5.383e-07,       0.00038427,        0.293,        0.509,        0.164,        0.445,        0.523,        0.386,        0.379,        0.247,        0.696,        0.824,        0.589,        0.589,        0.336,       0.0153
       278, 44404.269,    0.002,       0.00036755,       5.7179e-06,       0.00037327,        0.312,        0.498,        0.179,        0.456,        0.551,         0.44,        0.406,        0.274,         0.65,        0.784,        0.625,        0.583,         1.04,       0.0472,       0.00039032,        2.496e-06,       0.00039282,        0.307,        0.513,        0.174,        0.469,        0.546,        0.383,        0.393,        0.257,         0.71,        0.806,         0.58,        0.588,        0.861,       0.0391
       279, 44553.306,    0.002,       0.00042768,       6.8968e-06,       0.00043458,        0.335,        0.537,         0.19,        0.496,        0.599,        0.456,        0.436,         0.28,         0.72,        0.848,        0.655,        0.626,         1.12,        0.051,       0.00034649,       2.8378e-07,       0.00034677,         0.29,        0.483,        0.166,        0.442,        0.505,        0.369,         0.37,        0.248,        0.676,        0.729,        0.547,         0.55,        0.222,       0.0101
       280, 44701.827,    0.002,       0.00041404,       7.7078e-06,       0.00042174,        0.308,        0.528,        0.179,        0.446,        0.532,        0.444,          0.4,         0.29,        0.698,        0.776,         0.71,        0.618,         1.15,       0.0522,       0.00036324,       2.7255e-07,       0.00036351,        0.294,        0.495,        0.171,         0.45,        0.504,         0.36,        0.371,        0.254,        0.701,         0.74,        0.534,        0.557,        0.226,       0.0103
       281, 44851.889,    0.002,       0.00047349,       1.0334e-05,       0.00048383,        0.336,        0.565,        0.188,        0.499,        0.591,        0.479,        0.439,        0.264,        0.767,        0.874,        0.754,        0.664,         1.27,       0.0578,        0.0003768,       5.0456e-07,        0.0003773,          0.3,        0.504,         0.17,        0.457,        0.516,        0.395,        0.384,        0.257,        0.705,        0.761,        0.574,        0.574,         0.32,       0.0146
       282, 45000.563,    0.002,       0.00032599,       5.1593e-06,       0.00033115,        0.301,        0.469,        0.174,         0.44,        0.533,        0.416,        0.391,        0.255,        0.618,        0.731,         0.59,        0.548,        0.966,       0.0439,       0.00032859,       2.9207e-07,       0.00032888,         0.28,        0.471,        0.159,        0.426,        0.488,        0.353,        0.357,        0.242,        0.657,        0.724,        0.514,        0.534,        0.235,       0.0107
       283, 45149.257,    0.002,       0.00042434,       1.0203e-05,       0.00043454,         0.33,        0.535,        0.189,        0.482,         0.58,        0.472,        0.431,        0.267,        0.716,        0.832,        0.699,        0.629,          1.3,        0.059,       0.00035923,       3.1389e-07,       0.00035954,        0.288,        0.492,        0.165,        0.441,          0.5,        0.363,        0.367,        0.253,        0.688,        0.751,        0.544,        0.559,        0.223,       0.0101
       284, 45298.011,    0.002,       0.00035517,       5.7083e-06,       0.00036087,        0.312,        0.489,        0.179,        0.459,         0.55,        0.434,        0.406,         0.27,        0.645,        0.763,        0.604,        0.571,         1.03,       0.0468,       0.00034525,       3.0586e-07,       0.00034556,        0.286,        0.482,        0.163,        0.434,        0.511,        0.358,        0.366,        0.244,        0.671,        0.763,        0.522,         0.55,        0.228,       0.0104
       285, 45446.200,    0.002,       0.00035261,       6.9242e-06,       0.00035954,        0.313,        0.488,        0.179,        0.458,        0.555,        0.447,         0.41,        0.256,         0.64,        0.766,        0.638,        0.575,         1.11,       0.0504,       0.00032727,        2.574e-07,       0.00032753,         0.28,         0.47,         0.16,        0.426,        0.482,        0.359,        0.356,        0.238,        0.652,        0.734,         0.52,        0.536,        0.227,       0.0103
       286, 45594.667,    0.002,       0.00035452,        6.088e-06,       0.00036061,         0.32,        0.489,        0.182,        0.474,        0.561,        0.444,        0.415,        0.262,        0.652,         0.76,        0.602,        0.569,         1.09,       0.0495,       0.00034477,       3.3685e-07,        0.0003451,        0.288,        0.482,        0.165,        0.436,        0.505,        0.359,        0.366,        0.247,        0.681,        0.722,        0.527,        0.544,        0.255,       0.0116
